ID    RISK     STATUS     CVSS-VECTOR                                   CVSS-BASE  CVSS-VERSION  OWASP  ASVS                                CWE                        MSTG                          OWASP API 2023                   OWASP MASVS (v2)       OWASP MOBILE 2024  PCI-DSS  HIPAA                      GDPR               UPDATED-ON                            VULNERABILITY-ID
--    ----     ------     -----------                                   ---------  ------------  -----  ----                                ---                        ----                          --------------                   ----------------       -----------------  -------  -----                      ----               ----------                            ----------------
5694  Unknown  Waiting                                                  -1         3             []     []                                  [CWE_16]                   [MSTG_2_8]                    []                               [MASVS_1_2]            [M8_2024]          []       []                         [gdpr_25 gdpr_32]  2025-11-14 12:37:21.835209 +0000 UTC  96
5695  Unknown  Waiting                                                  -1         3             []     []                                  [CWE_477]                  [MSTG_7_5]                    []                               [MASVS_4_3]            [M8_2024]          []       []                         [gdpr_25 gdpr_32]  2025-11-14 12:37:21.862588 +0000 UTC  98
5696  Unknown  Waiting                                                  -1         3             []     []                                  [CWE_613]                  [MSTG_4_2]                    [API2_2023]                      []                     [M3_2024 M8_2024]  []       []                         [gdpr_25 gdpr_32]  2025-11-14 12:37:21.885941 +0000 UTC  99
5697  Unknown  Waiting                                                  -1         3             []     [ASVS_3_4_1 ASVS_3_4_2 ASVS_3_4_3]  [CWE_1004 CWE_614]         []                            [API8_2023]                      []                     [M8_2024]          []       []                         [gdpr_25 gdpr_32]  2025-11-14 12:37:21.90966 +0000 UTC   101
5698  Unknown  Waiting                                                  -1         3             []     [ASVS_13_1_3 ASVS_13_1_2]           [CWE_202 CWE_200]          []                            []                               []                     [M6_2024]          []       []                         [gdpr_25 gdpr_32]  2025-11-14 12:37:21.933845 +0000 UTC  102
5699  Unknown  Waiting                                                  -1         3             []     [ASVS_13_1_3]                       [CWE_209]                  []                            [API8_2023]                      []                     [M6_2024]          []       []                         [gdpr_25 gdpr_32]  2025-11-14 12:37:21.956044 +0000 UTC  103
5700  Unknown  Waiting                                                  -1         3             []     []                                  [CWE_693]                  [MSTG_8_9]                    []                               [MASVS_7_3]            [M7_2024]          []       []                         [gdpr_25 gdpr_32]  2025-11-14 12:37:21.978101 +0000 UTC  104
5701  Unknown  Waiting                                                  -1         3             []     [ASVS_14_5_1]                       [CWE_16]                   []                            [API8_2023]                      []                     []                 []       []                         [gdpr_25 gdpr_32]  2025-11-14 12:37:22.0025 +0000 UTC    105
5702  Unknown  Waiting                                                  -1         3             []     [ASVS_14_5_2 ASVS_14_5_4]           [CWE_20]                   []                            []                               []                     []                 []       []                         [gdpr_25 gdpr_32]  2025-11-14 12:37:22.045804 +0000 UTC  106
5703  Unknown  Waiting                                                  -1         3             []     [ASVS_9_1_1 ASVS_9_1_2 ASVS_9_1_3]  [CWE_326]                  []                            []                               []                     []                 []       []                         [gdpr_25 gdpr_32]  2025-11-14 12:37:22.071067 +0000 UTC  107
5704  Unknown  Waiting                                                  -1         3             []     [ASVS_9_1_1 ASVS_9_1_2 ASVS_9_1_3]  [CWE_757]                  []                            [API8_2023]                      []                     []                 []       []                         [gdpr_25 gdpr_32]  2025-11-14 12:37:22.099336 +0000 UTC  108
5705  Unknown  Waiting                                                  -1         3             []     [ASVS_9_1_1 ASVS_9_1_2 ASVS_9_1_3]  [CWE_126]                  []                            [API3_2023]                      []                     []                 []       []                         [gdpr_25 gdpr_32]  2025-11-14 12:37:22.123665 +0000 UTC  109
5706  Unknown  Waiting                                                  -1         3             []     [ASVS_9_1_1 ASVS_9_1_2 ASVS_9_1_3]  [CWE_310]                  []                            [API8_2023]                      []                     []                 []       []                         [gdpr_25 gdpr_32]  2025-11-14 12:37:22.150853 +0000 UTC  110
5707  Unknown  Waiting                                                  -1         3             []     [ASVS_9_1_1 ASVS_9_1_2 ASVS_9_1_3]  [CWE_310]                  []                            [API8_2023]                      []                     []                 []       []                         [gdpr_25 gdpr_32]  2025-11-14 12:37:22.175788 +0000 UTC  111
5708  Unknown  Waiting                                                  -1         3             []     [ASVS_9_1_1 ASVS_9_1_2 ASVS_9_1_3]  [CWE_757]                  []                            [API9_2023]                      []                     []                 []       []                         [gdpr_25 gdpr_32]  2025-11-14 12:37:22.202156 +0000 UTC  112
5709  Unknown  Waiting                                                  -1         3             []     []                                  [CWE_16]                   [MSTG_5_1]                    []                               [MASVS_5_1]            [M5_2024 M8_2024]  []       []                         [gdpr_25 gdpr_32]  2025-11-14 12:37:22.234101 +0000 UTC  113
5710  Unknown  Waiting                                                  -1         3             []     []                                  [CWE_1299]                 [MSTG_4_8]                    []                               [MASVS_3_2]            [M3_2024]          []       []                         [gdpr_25 gdpr_32]  2025-11-14 12:37:22.264003 +0000 UTC  114
5711  Unknown  Waiting                                                  -1         3             []     []                                  [CWE_693]                  [MSTG_8_1]                    []                               [MASVS_7_1]            [M7_2024]          []       [164_308_a_4]              [gdpr_25 gdpr_32]  2025-11-14 12:37:22.289624 +0000 UTC  116
5712  Unknown  Waiting                                                  -1         3             []     []                                  [CWE_345]                  [MSTG_8_3]                    []                               [MASVS_4_3]            [M7_2024]          []       [164_312_c_1]              [gdpr_25 gdpr_32]  2025-11-14 12:37:22.317568 +0000 UTC  117
5713  Unknown  Waiting                                                  -1         3             []     []                                  [CWE_200]                  [MSTG_6_9]                    []                               [MASVS_6_3]            []                 []       []                         [gdpr_25 gdpr_32]  2025-11-14 12:37:22.345405 +0000 UTC  118
5714  Unknown  Waiting                                                  -1         3             []     []                                  [CWE_259 CWE_321 CWE_798]  [MSTG_1_4]                    []                               [MASVS_1_2]            [M1_2024 M6_2024]  []       [164_312_c_1]              [gdpr_25 gdpr_32]  2025-11-14 12:37:22.374772 +0000 UTC  120
5715  Unknown  Waiting                                                  -1         3             []     []                                  [CWE_1021]                 [MSTG_6_9]                    []                               [MASVS_6_3]            [M4_2024 M8_2024]  []       [164_310_c]                [gdpr_32 gdpr_25]  2025-11-14 12:37:22.400452 +0000 UTC  121
